HS Code (or chapter),
250810,"250810,"
250830,"250830,"
250840,"250840,"
250850,"250850,"
250860,"250860,"
250870,"250870,"
250900,"250900,"
251200,"251200,"
251511,"251511,"
251512,"251512,"
251520,"251520,"
251820,"251820,"
251910,"251910,"
252010,"252010,"
252100,"252100,"
252210,"252210,"
252220,"252220,"
252230,"252230,"
252510,"252510,"
252520,"252520,"
252530,"252530,"
252610,"252610,"
252620,"252620,"
253020,"253020,"
280431,"280431,"
282911,"282911,"
284700,"284700,"
320110,"320110,"
320120,"320120,"
320190,"320190,"
320210,"320210,"
320290,"320290,"
320300,"320300,"
320490,"320490,"
320500,"320500,"
320641,"320641,"
320649,"320649,"
320710,"320710,"
320720,"320720,"
320730,"320730,"
320740,"320740,"
320810,"320810,"
320820,"320820,"
320890,"320890,"
320910,"320910,"
320990,"320990,"
321000,"321000,"
321290,"321290,"
321410,"321410,"
321490,"321490,"
321511,"321511,"
321519,"321519,"
340311,"340311,"
340319,"340319,"
340391,"340391,"
340399,"340399,"
350510,"350510,"
350699,"350699,"
370120,"370120,"
370191,"370191,"
370210,"370210,"
370231,"370231,"
370232,"370232,"
370239,"370239,"
370241,"370241,"
370242,"370242,"
370243,"370243,"
370244,"370244,"
370252,"370252,"
370253,"370253,"
370254,"370254,"
370255,"370255,"
370256,"370256,"
370296,"370296,"
370297,"370297,"
370298,"370298,"
370310,"370310,"
370320,"370320,"
370390,"370390,"
370500,"370500,"
370610,"370610,"
370690,"370690,"
380120,"380120,"
380620,"380620,"
380700,"380700,"
380910,"380910,"
380991,"380991,"
380992,"380992,"
380993,"380993,"
381010,"381010,"
381090,"381090,"
381111,"381111,"
381119,"381119,"
381121,"381121,"
381129,"381129,"
381190,"381190,"
381220,"381220,"
381300,"381300,"
381400,"381400,"
381511,"381511,"
381512,"381512,"
381519,"381519,"
381590,"381590,"
381600,"381600,"
381700,"381700,"
381800,"381800,"
381900,"381900,"
382000,"382000,"
382313,"382313,"
382481,"382481,"
382484,"382484,"
382499,"382499,"
382590,"382590,"
382600,"382600,"
382790,"382790,"
390140,"390140,"
390220,"390220,"
390230,"390230,"
390290,"390290,"
390319,"390319,"
390390,"390390,"
390410,"390410,"
390450,"390450,"
390512,"390512,"
390519,"390519,"
390521,"390521,"
390529,"390529,"
390530,"390530,"
390591,"390591,"
390599,"390599,"
390610,"390610,"
390690,"390690,"
390721,"390721,"
390740,"390740,"
390770,"390770,"
390791,"390791,"
390810,"390810,"
390890,"390890,"
390920,"390920,"
390939,"390939,"
390940,"390940,"
390950,"390950,"
391211,"391211,"
391290,"391290,"
391520,"391520,"
391710,"391710,"
391723,"391723,"
391731,"391731,"
391732,"391732,"
391733,"391733,"
392010,"392010,"
392061,"392061,"
392069,"392069,"
392073,"392073,"
392091,"392091,"
392119,"392119,"
392290,"392290,"
392520,"392520,"
400211,"400211,"
400219,"400219,"
400220,"400220,"
400231,"400231,"
400239,"400239,"
400241,"400241,"
400249,"400249,"
400251,"400251,"
400259,"400259,"
400260,"400260,"
400270,"400270,"
400280,"400280,"
400291,"400291,"
400299,"400299,"
400510,"400510,"
400520,"400520,"
400591,"400591,"
400599,"400599,"
400610,"400610,"
400821,"400821,"
400912,"400912,"
400941,"400941,"
401011,"401011,"
401012,"401012,"
401019,"401019,"
401031,"401031,"
401032,"401032,"
401033,"401033,"
401034,"401034,"
401035,"401035,"
401036,"401036,"
401039,"401039,"
401120,"401120,"
401130,"401130,"
401211,"401211,"
401212,"401212,"
401213,"401213,"
401219,"401219,"
401220,"401220,"
401290,"401290,"
401693,"401693,"
440711,"440711,"
440712,"440712,"
440713,"440713,"
440714,"440714,"
440719,"440719,"
440721,"440721,"
440722,"440722,"
440723,"440723,"
440725,"440725,"
440726,"440726,"
440727,"440727,"
440728,"440728,"
440729,"440729,"
440791,"440791,"
440792,"440792,"
440793,"440793,"
440794,"440794,"
440795,"440795,"
440796,"440796,"
440797,"440797,"
440799,"440799,"
441113,"441113,"
441194,"441194,"
441210,"441210,"
441231,"441231,"
441233,"441233,"
441234,"441234,"
441239,"441239,"
441241,"441241,"
441242,"441242,"
441249,"441249,"
441251,"441251,"
441252,"441252,"
441259,"441259,"
441291,"441291,"
441292,"441292,"
441299,"441299,"
441840,"441840,"
441879,"441879,"
450310,"450310,"
450390,"450390,"
450410,"450410,"
450490,"450490,"
470100,"470100,"
470311,"470311,"
470319,"470319,"
470321,"470321,"
470329,"470329,"
470411,"470411,"
470419,"470419,"
470421,"470421,"
470429,"470429,"
470500,"470500,"
470610,"470610,"
470620,"470620,"
470630,"470630,"
470691,"470691,"
470692,"470692,"
470693,"470693,"
470710,"470710,"
470720,"470720,"
470730,"470730,"
470790,"470790,"
480220,"480220,"
480240,"480240,"
480258,"480258,"
480261,"480261,"
480411,"480411,"
480419,"480419,"
480421,"480421,"
480429,"480429,"
480439,"480439,"
480441,"480441,"
480442,"480442,"
480449,"480449,"
480451,"480451,"
480452,"480452,"
480459,"480459,"
480511,"480511,"
480512,"480512,"
480519,"480519,"
480524,"480524,"
480525,"480525,"
480530,"480530,"
480540,"480540,"
480550,"480550,"
480591,"480591,"
480592,"480592,"
480593,"480593,"
480610,"480610,"
480620,"480620,"
480630,"480630,"
480640,"480640,"
480700,"480700,"
480810,"480810,"
480840,"480840,"
480920,"480920,"
480990,"480990,"
481013,"481013,"
481014,"481014,"
481019,"481019,"
481022,"481022,"
481029,"481029,"
481031,"481031,"
481032,"481032,"
481039,"481039,"
481092,"481092,"
481099,"481099,"
481110,"481110,"
481151,"481151,"
481159,"481159,"
481160,"481160,"
481190,"481190,"
481490,"481490,"
481920,"481920,"
482210,"482210,"
482290,"482290,"
482320,"482320,"
482340,"482340,"
482361,"482361,"
482369,"482369,"
482370,"482370,"
482390,"482390,"
490600,"490600,"
510510,"510510,"
510521,"510521,"
510529,"510529,"
510531,"510531,"
510539,"510539,"
510540,"510540,"
510610,"510610,"
510620,"510620,"
510710,"510710,"
510720,"510720,"
511211,"511211,"
511219,"511219,"
511220,"511220,"
511230,"511230,"
511290,"511290,"
520511,"520511,"
520512,"520512,"
520513,"520513,"
520514,"520514,"
520515,"520515,"
520521,"520521,"
520522,"520522,"
520523,"520523,"
520524,"520524,"
520526,"520526,"
520527,"520527,"
520528,"520528,"
520531,"520531,"
520532,"520532,"
520533,"520533,"
520534,"520534,"
520535,"520535,"
520541,"520541,"
520542,"520542,"
520543,"520543,"
520544,"520544,"
520546,"520546,"
520547,"520547,"
520548,"520548,"
520642,"520642,"
520911,"520911,"
521111,"521111,"
521112,"521112,"
521119,"521119,"
521120,"521120,"
521131,"521131,"
521132,"521132,"
521139,"521139,"
521141,"521141,"
521142,"521142,"
521143,"521143,"
521149,"521149,"
521151,"521151,"
521152,"521152,"
521159,"521159,"
530810,"530810,"
530820,"530820,"
530890,"530890,"
540263,"540263,"
540310,"540310,"
540331,"540331,"
540332,"540332,"
540333,"540333,"
540339,"540339,"
540341,"540341,"
540342,"540342,"
540349,"540349,"
540411,"540411,"
540412,"540412,"
540419,"540419,"
540490,"540490,"
540730,"540730,"
550111,"550111,"
550119,"550119,"
550120,"550120,"
550130,"550130,"
550140,"550140,"
550190,"550190,"
550210,"550210,"
550290,"550290,"
550311,"550311,"
550319,"550319,"
550320,"550320,"
550330,"550330,"
550340,"550340,"
550390,"550390,"
550490,"550490,"
550610,"550610,"
550620,"550620,"
550630,"550630,"
550640,"550640,"
550690,"550690,"
550700,"550700,"
551221,"551221,"
551299,"551299,"
551611,"551611,"
551612,"551612,"
551613,"551613,"
551614,"551614,"
551621,"551621,"
551622,"551622,"
551623,"551623,"
551624,"551624,"
551631,"551631,"
551632,"551632,"
551633,"551633,"
551634,"551634,"
551641,"551641,"
551642,"551642,"
551643,"551643,"
551644,"551644,"
551691,"551691,"
551692,"551692,"
551693,"551693,"
551694,"551694,"
560129,"560129,"
560130,"560130,"
560410,"560410,"
560490,"560490,"
560500,"560500,"
560741,"560741,"
580127,"580127,"
580300,"580300,"
580640,"580640,"
590110,"590110,"
590190,"590190,"
590500,"590500,"
590800,"590800,"
591000,"591000,"
591110,"591110,"
591131,"591131,"
591132,"591132,"
591140,"591140,"
600199,"600199,"
600310,"600310,"
600320,"600320,"
600330,"600330,"
600340,"600340,"
600390,"600390,"
600536,"600536,"
600544,"600544,"
600610,"600610,"
630900,"630900,"
680292,"680292,"
680423,"680423,"
680610,"680610,"
680620,"680620,"
680690,"680690,"
680710,"680710,"
680790,"680790,"
680919,"680919,"
681091,"681091,"
681140,"681140,"
681181,"681181,"
681182,"681182,"
681189,"681189,"
681320,"681320,"
681381,"681381,"
681389,"681389,"
681490,"681490,"
690100,"690100,"
690410,"690410,"
690510,"690510,"
690590,"690590,"
690600,"690600,"
690722,"690722,"
690740,"690740,"
690990,"690990,"
700210,"700210,"
700220,"700220,"
700231,"700231,"
700232,"700232,"
700239,"700239,"
700312,"700312,"
700319,"700319,"
700320,"700320,"
700330,"700330,"
700420,"700420,"
700490,"700490,"
700510,"700510,"
700521,"700521,"
700529,"700529,"
700530,"700530,"
700711,"700711,"
700729,"700729,"
701110,"701110,"
720292,"720292,"
720711,"720711,"
720712,"720712,"
720719,"720719,"
720720,"720720,"
721090,"721090,"
721113,"721113,"
721114,"721114,"
721129,"721129,"
721210,"721210,"
721260,"721260,"
721310,"721310,"
721320,"721320,"
721391,"721391,"
721399,"721399,"
721550,"721550,"
721610,"721610,"
721621,"721621,"
721622,"721622,"
721631,"721631,"
721632,"721632,"
721633,"721633,"
721640,"721640,"
721650,"721650,"
721661,"721661,"
721669,"721669,"
721699,"721699,"
721810,"721810,"
721891,"721891,"
721899,"721899,"
722230,"722230,"
722410,"722410,"
722490,"722490,"
722519,"722519,"
722530,"722530,"
722599,"722599,"
722691,"722691,"
722810,"722810,"
722820,"722820,"
722830,"722830,"
722840,"722840,"
722850,"722850,"
722860,"722860,"
722870,"722870,"
722880,"722880,"
722990,"722990,"
730120,"730120,"
730424,"730424,"
730539,"730539,"
730650,"730650,"
730722,"730722,"
731100,"731100,"
731412,"731412,"
731824,"731824,"
732020,"732020,"
732290,"732290,"
732429,"732429,"
740710,"740710,"
740721,"740721,"
740729,"740729,"
740811,"740811,"
740819,"740819,"
740821,"740821,"
740822,"740822,"
740829,"740829,"
740911,"740911,"
740919,"740919,"
740921,"740921,"
740929,"740929,"
740931,"740931,"
740939,"740939,"
740940,"740940,"
740990,"740990,"
741129,"741129,"
741521,"741521,"
750511,"750511,"
750512,"750512,"
750521,"750521,"
750522,"750522,"
750610,"750610,"
750620,"750620,"
750711,"750711,"
750712,"750712,"
750720,"750720,"
750810,"750810,"
750890,"750890,"
760511,"760511,"
760519,"760519,"
760521,"760521,"
760529,"760529,"
760692,"760692,"
760720,"760720,"
761100,"761100,"
761290,"761290,"
761300,"761300,"
761610,"761610,"
780411,"780411,"
780419,"780419,"
780420,"780420,"
790500,"790500,"
800110,"800110,"
800120,"800120,"
800300,"800300,"
800700,"800700,"
810110,"810110,"
810210,"810210,"
810294,"810294,"
810295,"810295,"
810296,"810296,"
810297,"810297,"
810299,"810299,"
810590,"810590,"
810921,"810921,"
810929,"810929,"
810931,"810931,"
810939,"810939,"
810991,"810991,"
810999,"810999,"
820220,"820220,"
830120,"830120,"
830170,"830170,"
830230,"830230,"
830710,"830710,"
830790,"830790,"
830910,"830910,"
830990,"830990,"
840211,"840211,"
840610,"840610,"
841011,"841011,"
841012,"841012,"
841013,"841013,"
842112,"842112,"
842121,"842121,"
842122,"842122,"
842132,"842132,"
844820,"844820,"
844831,"844831,"
844832,"844832,"
844839,"844839,"
844859,"844859,"
845320,"845320,"
845330,"845330,"
845720,"845720,"
845929,"845929,"
845939,"845939,"
845951,"845951,"
845959,"845959,"
845969,"845969,"
846630,"846630,"
847329,"847329,"
847340,"847340,"
847350,"847350,"
847510,"847510,"
847710,"847710,"
847720,"847720,"
847759,"847759,"
847780,"847780,"
847790,"847790,"
850440,"850440,"
850519,"850519,"
851432,"851432,"
851439,"851439,"
851440,"851440,"
851762,"851762,"
851769,"851769,"
852560,"852560,"
852589,"852589,"
852910,"852910,"
852990,"852990,"
853221,"853221,"
853641,"853641,"
853710,"853710,"
854011,"854011,"
854012,"854012,"
854040,"854040,"
860210,"860210,"
860610,"860610,"
860630,"860630,"
860691,"860691,"
860699,"860699,"
870121,"870121,"
870122,"870122,"
870123,"870123,"
870124,"870124,"
870130,"870130,"
870323,"870323,"
870324,"870324,"
870332,"870332,"
870333,"870333,"
870340,"870340,"
870350,"870350,"
870360,"870360,"
870370,"870370,"
870380,"870380,"
870390,"870390,"
870421,"870421,"
870431,"870431,"
870441,"870441,"
870442,"870442,"
870443,"870443,"
870451,"870451,"
870452,"870452,"
870460,"870460,"
870490,"870490,"
870520,"870520,"
870530,"870530,"
874350,"874350,"
890311,"890311,"
890312,"890312,"
890319,"890319,"
890321,"890321,"
890322,"890322,"
890323,"890323,"
890331,"890331,"
890332,"890332,"
890333,"890333,"
890393,"890393,"
890399,"890399,"
900720,"900720,"
900791,"900791,"
900792,"900792,"
901050,"901050,"
901060,"901060,"
901090,"901090,"
901380,"901380,"
901530,"901530,"
902490,"902490,"
902519,"902519,"
902750,"902750,"
903020,"903020,"
903110,"903110,"
903141,"903141,"
903149,"903149,"
903180,"903180,"
903190,"903190,"
940110,"940110,"
940120,"940120,"
940330,"940330,"
940610,"940610,"
940620,"940620,"
940690,"940690,"
960610,"960610,"
960621,"960621,"
960622,"960622,"
960629,"960629,"
960630,"960630,"
960891,"960891,"
961220,"961220,"