cod_id,mineral_name,corr_mineral_name,note
1544879,1M kinoshitalite,,
1544875,1M-manganese trioctahedral micas,,
1556997,3T-phlogopite,,
7048271,?(NH4)(N2H5)WS4?,,
7031189,?5a?,,
4342795,?Ce2O2CdSe2?,,
4342929,?Ce2O2Zn0.25Fe0.75Se2?,,
4342931,?Ce2O2Zn0.8125Fe0.1875Se2?,,
7242110,?Chalkopyrit?,,
4002957,?Cs2NaBiCl6?,,
4342930,?La2O2Zn0.1Mn0.9Se2?,,
7130000,?MFM-300-Sc_1ND3?,,
7130001,?MFM-300-Sc_3ND3?,,
7129999,?MFM-300-Sc_empty?,,
7707130,?MgSCN2-4H2O?,,
4349389,?NaCs(B12H12)?,,
1516729,?PN14?,,
1556544,?Propionitrile?,,
3000171,?RbAlD4?,,
7707129,?alpha,,
7045768,?beta-Li2MnP2O7?,,
4349386,?c1-NaK(B12H12)?,,
4349388,?c3-Na2B12H12?,,
4349391,?h-LiK(B12H12)?,,
4349390,?h-NaCs(B12H12)?,,
7029846,?hkl_Phase?,,
4349387,?m-NaCs(B12H12)?,,
4349392,?o-LiCs(B12H12)?,,
7226608,Acetone,,
9008458,Actinium,,
7045668,Adk203,,
1001722,Aeschynite (La),,
9015897,Aeschynite-(La),,
1544685,Ag2S alpha,,
7108282,Ag_zeolite_A,,
7108283,Ag_zeolite_A?,,
7701385,Al-MIL-53-FcDC,,
1550016,AlPO4 moganite alpha phase,,
1550017,AlPO4 moganite beta phase,,
1100107,AlPO4-15,,
9001966,AlSiO3OH,,
9017533,Alinite,,
9013289,Allanite-subgroup mineral,Allanite Group,Member of group
1010999,Almandine calcian,Almandine,Calcian
1544870,Alpha'L form of Ca1.55Sr0.45SiO4,,
7229732,Alpha-Na3PS4,,
7040825,AlphaCuPhP,,
1011177,Alum-K,Alum-(K),
9005086,Aluminium Borate,,
9005640,Alumino-magnesiohulsite,Aluminomagnesiohulsite,
9012350,Alunite (deuterated),Alunite,deuterated
9008461,Americium,,
9016737,Anhydrite (soluble),Anhydrite,soluble
1544621,Anhydrous phase X,,
9004468,Annite-(Cs),Annite,
1008757,Anorhtite sodian,Anorthite,sodian
1011356,Antarcticite (Sr),Antarcticite,
9014625,Antigorite-M,Antigorite,M
9015974,Antigorite-T,Antigorite,T
1565928,Apatite analogue,Apatite,analogue
9013558,Apatite-(SrCl),Strontium-bearing Apatite,
9007885,Aplowite (deuterated),Aplowite,deuterated
9008462,Argon,,
9017907,Artesunate,,
1010973,Ashcroftine,Ashcroftine-(Y),
1558635,Axinite-Fe,Axinite-(Fe),
9012240,BC-8,,
9001533,BCTT,,
1545919,BKT,,
1550864,Ba-Anthranilate monohydrate,,
4336766,Ba0.22TaO2.72,,
1544730,Ba2Ti(Ge0.25Si0.75)2O8,,
1544729,Ba2Ti(Ge0.25Si0.75)2O8 at 890 C,,
1544726,Ba3(PO4)2,,
1544664,Ba4In6O13,,
4329724,Ba6Ga21TaO40,,
9001237,BaCuSi2O6,,
4334584,BaFe9LiO15,,
9002181,BaSi4O9,,
9008528,Barium,,
4338746,Barium ferrite,Ba-ferrite,
1562033,Barium iron oxide fluoride,,
1010958,Bastnaesite (La),Bastnäsite-(La),
9012353,Behoite (deuterated),Behoite,deuterated
1544208,Benzene:ethane co-crystal,,
9000613,Berndtite-2T,Berndtite,2T
9008488,Beryllium,commodity:Beryllium,
9004630,Beta-As4S4,,
7229733,Beta-Na3PS4,,
9017470,Beta-diopside,Diopside,beta
8100226,Beta-roselite,Roselite,beta
9011320,Beta-sulfur,Clinosulphur,
4342600,Bi2 Ga2 Al2 O9,,
4342599,Bi2 Ga3 Al O9,,
9012366,Bieberite (deuterated),Bieberite,deuterated
4341652,Bismuth barium iron oxide fluoride,,
7120238,Bismuth subgallate,,
1556972,Bismuthian vesuvianite,,
1011264,Bixbyite C,Bixbyite,C
9010942,Boehmite (deuterated),Böhmite,deuterated
9008560,Boron,,
1008827,Britholite (N,Britholite-(Ce),
9009380,Britholite-(Gd),Britholite-(Ce),
9001586,Brucite (deuterated),Brucite,deuterated
9007287,Brushite (deuterated),Brushite,deuterated
9007326,Buddingtonite (deuterated),Buddingtonite,deuterated
1529225,C4 H2 N2 O2 S Tl2,,
4031301,C4 H3 N2 O2 S Cs,,
7116293,C4-NT4N form B,,
1529224,C8 H6 N4 O5 Pb S2,,
7044853,CAU-15 revised,,
7044855,CAU-15-Cit Anhydrous,,
7044854,CAU-15-Cit Hydrated,,
4347824,CAU-20,,
4347825,CAU-20-Cl2,,
7125040,CAU-22,,
7701747,CAU-41,,
7703498,CAU-42,,
7701748,CAU-44,,
7241049,CAU-50,,
7040115,CFA-8 * 5 CO,,
1558096,CO2 clathrate hydrate sI,,
1559871,CO2-rich melanophlogite,Melanophlogite,CO2-rich melanophlogite
1559873,CO2-rich melanophlogite treated at 1000 C 24H,Melanophlogite,CO2-rich melanophlogite treated at 1000 C 24H
1559872,CO2-rich melanophlogite treated at 500 C 5 min,Melanophlogite,CO2-rich melanophlogite treated at 500 C 5 min
3000276,Ca Fe oxygen-deficient silicate perovskite,Perovskite,Ca Fe oxygen-deficient silicate perovskite
1557942,Ca feldspar at 350 C,Anorthite,Ca feldspar at 350 C
1550862,Ca-Anthranilate trihydrate,,
7229823,Ca-Isophthalate,,
7229822,Ca-Phthalate,,
7229820,Ca-Phthalate monohydrate,,
7229821,Ca-Terephthalate trihydrate,,
1561175,Ca-perovskite,Perovskite,Ca-perovskite
7708238,Ca10Co0.5V7O28,,
7708239,Ca10Cu0.5V7O28,,
7221623,Ca2Al3O6F,,
9001841,Ca2TiSiO6,,
1545170,CaSiO3 cubic perovskite,Perovskite,CaSiO3 cubic perovskite
9014541,Calcirtite,,
7214218,"Calcite, magnesian",Calcite,"Calcite, magnesian"
9008464,Calcium,,
9013986,Calcium Thorium Phosphate,,
9008489,Calcium-beta,,
9008530,Calcium-gamma,,
1544617,Cancrinite at 173 K,Cancrinite,Cancrinite at 173 K
1544618,Cancrinite at 293 K,Cancrinite,Cancrinite at 293 K
1544619,Cancrinite at 473 K,Cancrinite,Cancrinite at 473 K
1544620,Cancrinite at 673 K,Cancrinite,Cancrinite at 673 K
9012588,Carbon,,
1010953,Carnegieite high,Carnegieite,Carnegieite high
1004114,Carnotite (Ag),Carnotite,Carnotite (Ag)
9010291,Carpathite/Karpalite?,Carpathite,
1011345,"Catapleite, averaged structure",Catapleiite,averaged structure
4031306,"Catena-(mu~4~-1,3-diethyl-2-thiobarbiturato-O,O',S,S)-silver(I)",,
1529218,Catena-bis(2-thiobarbiturato)-diaqua-barium,,
4031304,Catena-bis(2-thiobarbiturato)-tetraaqua-strontium monohydrate,,
1544894,Cattierite at 1 atm,Cattierite,Cattierite at 1 atm
1544895,Cattierite at 1.9 GPa,Cattierite,Cattierite at 1.9 GPa
1544896,Cattierite at 3.6 GPa,Cattierite,Cattierite at 3.6 GPa
7055318,Cd(GlyPhe)2,,
1544913,Cd0.37Bi0.63O1.79,,
4003055,Cd2Nb2O6.3S0.7,,
4003053,Cd2Nb2O6.75S0.25,,
4003054,Cd2Nb2O7,,
1544912,CdBi2O6,,
7224709,CdPhP2,,
7701313,Ce-HHU-1,,
7701749,Ce-UiO-66-Asp,,
4341276,CeSrGa3O7.39,,
1000471,Cebaite (La),,
9011550,Cesium,,
9008254,Chalcanthite (deuterated),Chalcanthite,deuterated
1010919,Chernovite,Chernovite-(Y),
1011008,Chloraluminite ?,Chloraluminite,
9002536,Chondrodite (deuterated),Chondrodite,deuterated
1544884,Chondrodite-OH at 3.7 GPa,Hydroxylchondrodite,Chondrodite-OH at 3.7 GPa
1544885,Chondrodite-OH at 5.9 GPa,Hydroxylchondrodite,Chondrodite-OH at 5.9 GPa
1544866,Chromian epidote,Epidote Group,Chromian epidote
9009691,Claudetite II,Claudetite,Claudetite II
9002650,Clinochlore (deuterated),Clinochlore,deuterated
1011015,Clinochlore 2M,Clinochlore,2M
1544902,Clinoptilolite at 350 C,Clinoptilolite Subgroup,Clinoptilolite at 350 C
9001275,Clinoptilolite-(Cs),Clinoptilolite Subgroup,Clinoptilolite-(Cs)
9002637,Clinopyribole,Amphibole Supergroup,Clinopyribole
9001023,Clintonite-1M,Clintonite,1M
4128587,Co-Me-dabco,,
4128584,Co-Me-dabco MOF w/ CD4,,
9013649,CoAl2O4,,
7231804,CoBr2(3cypy)4,,
7039145,CoPhP4,,
9008466,Cobalt,,
3500127,Cobalt Zinc Ferrite,Franklinite,Cobalt Zinc Ferrite
9004086,Cobalt pentlandite,Cobalt-bearing Pentlandite,
5000089,Copiapite ferrian,Ferricopiapite,
1556980,Cordierite at 0 GPa,Cordierite,Cordierite at 0 GPa
1556979,Cordierite at 4.4 GPa,Cordierite,Cordierite at 4.4 GPa
1556978,Cordierite at 4.9 GPa,Cordierite,Cordierite at 4.9 GPa
1551498,CrCl2pyz2,,
9015309,Cristobalite II,Cristobalite,
1010921,Cristobalite high,Cristobalite,high
1010938,Cristobalite low,Cristobalite,low
1529266,CsFe2F6,,
7121778,Cu Metal Organic Framework,,
7121777,Cu-Me-bdc Metal Organic Framework,,
4132715,Cu-carbazole PCN-81,,
4132719,Cu-carbazole/PCN-81 w/ 1.95(15) CD4,,
4132716,Cu-carbazole/PCN-81 w/ 3.71(3) CD4,,
9004905,Cu2V2O7,,
1544874,Cu3Bi5S9,,
7125453,Cu3LiRu2O6,,
4002817,CuBi,,
1544873,CuBi3S5,,
7040827,CuPhP2,,
9009051,Cubic zirconia,Cubic Zirconia,
9006446,Cymrite-K,K-cymrite,
1559589,DJV-444-desolv,,
9004530,Darapiozite,,
7108293,Dehydrated_AgA,,
1544548,"Delta-(Al,Mg,Si)OOH",,
1544549,Delta-Al(OH)3,,
1544547,Delta-AlOOH,,
9009236,Destinezite (Diadochite),,
1557010,Deuterated brucite at 100 K,Brucite,Deuterated brucite at 100 K
1557011,Deuterated brucite at 120 K,Brucite,Deuterated brucite at 120 K
1557012,Deuterated brucite at 150 K,Brucite,Deuterated brucite at 150 K
1557002,Deuterated brucite at 20 K,Brucite,Deuterated brucite at 20 K
1557013,Deuterated brucite at 200 K,Brucite,Deuterated brucite at 200 K
1557014,Deuterated brucite at 295 K,Brucite,Deuterated brucite at 295 K
1557003,Deuterated brucite at 30 K,Brucite,Deuterated brucite at 30 K
1557004,Deuterated brucite at 40 K,Brucite,Deuterated brucite at 40 K
1557005,Deuterated brucite at 50 K,Brucite,Deuterated brucite at 50 K
1557006,Deuterated brucite at 60 K,Brucite,Deuterated brucite at 60 K
1557007,Deuterated brucite at 70 K,Brucite,Deuterated brucite at 70 K
1557008,Deuterated brucite at 80 K,Brucite,Deuterated brucite at 80 K
1557009,Deuterated brucite at 90 K,Brucite,Deuterated brucite at 90 K
1544666,Diopside Co-containing,Diopside,Co-containing
1100018,Diopside strontian,Diopside,strontian
9005336,Diopside-ferrian,Diopside,ferrian
9005339,Diopside-subsilisic,Diopside,subsilisic
1517795,"Dolomite (quenched from 1323 K, 11 kbar)",Dolomite,quenched from 1323 K
1010982,Domeykite high,Domeykite,high
1010975,Domeykite low,Domeykite,low
9008494,Dysprosium,,
1011059,Edingtonite (Tl),Edingtonite,Tl
9014577,Edingtonite-(Tl),Edingtonite,Tl
1544862,Elbaitic tourmaline,Elbaite,
9016054,Elpidite-Rb,Elpidite,Rb
1011018,Enstatite ferroan,Enstatite,ferroan
9011923,Epididymite-potassian,Epididymite,potassian
1545252,Epsilon Iron Carbide,Unnamed (Iron Carbide),
9010743,Epsomite (deuterated),Epsomite,deuterated
9008496,Erbium,,
7219540,Et2NH2,,
1544376,Eta-Al(OH)3,,
4134597,Eu6HOTP2 Metal-Organic Framework,,
7235052,Eu_antr3,,
9008534,Europium,,
1545186,Faujasite-NaY,Faujasite-Na,
4128582,Fe Metal Organic Framework,,
7121774,Fe Metal Organic Framework dosed with Ethane,,
7121775,"Fe Metal Organic Framework, dosed with Ethylene",,
9002259,Fe(OH)2,,
4128583,Fe-Me-dabco MOF w/ CD4,,
1544725,Fe-pumpellyite,Pumpellyite-(Fe),
9002026,Fe3O4,,
4003012,FeB,,
9007047,FeSi,,
1010565,Fergusonite titanian,Fergusonite,titanian
9009751,Fergusonite-(Ce)-beta,β-Fergusonite-(Ce),
9011435,Fergusonite-(Y)-beta,β-Fergusonite-(Y),
9001606,Ferri-eckermannite,Eckermannite,ferri
1544669,Ferrian aluminian diopside,diopside,Ferrian aluminian diopside
1544600,Ferrian prehnite,Ferriprehnite,
9005287,Ferriannite-(Cs),Ferriprehnite,Cs
1556970,Ferric arsenate-sulfate,,
9010600,Ferricopiapite (deuterated),Ferricopiapite,deuterated
9015032,Ferrosilite III,Ferrosilite,III
1010976,Fluocerite (Ce),Fluocerite-(Ce),
1008751,Fluocerite (La),Fluocerite-(La),
1010985,Fluocerite (Nd),Fluocerite,Nd
1010984,Fluocerite (Pr),Fluocerite,Pr
1010986,Fluocerite (Sm),Fluocerite,Sm
9004412,Fluor-nyboite,Fluoro-nybøite,
9004415,Fluor-taramite,Fluoro-taramite,
9000245,Fluorapophyllite,,
9015466,Fluorarrojadite-(KFe),Fluorarrojadite Root,KFe
9004493,Fluoro-magnesio-aluminokatophorite,,
9015420,Fluoro-potassic-pargasite,Potassic-fluoro-pargasite,
9014422,Fluoroleakeite,Fluoro-leakeite,
9005523,Fluorophlogopite-1M,Fluorophlogopite,1M
1567181,Form II,,
9013995,Fukalite dimorph,Fukalite,dimorph
1567941,Ga2O3 at 52 GPa,,
4125730,GaFeO3_polar_corundum,,
9008498,Gadolinium,,
9013458,Gadolinium gallium garnet,Gadolinium Gallium Garnet,
9014298,Gagarinite-(Eu),Gagarinite,Eu
9008085,Gallium,,
1544907,Ganophyllite: monoclinic subcell,Ganophyllite,monoclinic subcell
9012715,Garhardtite,,
1552152,Garnet like,,
9008567,Germanium,,
1557941,Gismondine C2/c at 225 C,Gismondine,Gismondine C2/c at 225 C
1557940,Gismondine at 75 C,Gismondine,Gismondine at 75 C
1567991,Gly-His-Gly,,
1011060,Graphite 2H,,
1101021,Graphite 3R,Graphite,3R
1100002,Graphite nitrate,Graphite,nitrate
9012133,Grimaldiite (deuterated),Grimaldiite,deuterated
9015337,Gupeite,,
9012128,Guyanaite (deuterated),Guyanaite,deuterated
9001751,Gypsum (deuterated),Gypsum,deuterated
9017086,H-Magnetite,Magnetite,H
9008501,Hafnium,,
9009802,Hectorite-(Cs),Hectorite,Cs
9008500,Helium,,
9002160,Hematite-proto,Hematite,proto
1549519,Hemimorphite II at 3.17 GPa,Hemimorphite,Hemimorphite II at 3.17 GPa
1549523,Hemimorphite II at 3.74 GPa,Hemimorphite,Hemimorphite II at 3.74 GPa
1549522,Hemimorphite II at 4.20 GPa,Hemimorphite,Hemimorphite II at 4.20 GPa
1549513,Hemimorphite at 0.17 GPa,Hemimorphite,Hemimorphite at 0.17 GPa
1549514,Hemimorphite at 0.47 GPa,Hemimorphite,Hemimorphite at 0.47 GPa
1549515,Hemimorphite at 1.30 GPa,Hemimorphite,Hemimorphite at 1.30 GPa
1549516,Hemimorphite at 1.93 GPa,Hemimorphite,Hemimorphite at 1.93 GPa
1549517,Hemimorphite at 2.44 GPa,Hemimorphite,Hemimorphite at 2.44 GPa
1566344,Hemimorphite at 3.01 GPa,Hemimorphite,Hemimorphite at 3.01 GPa
1566345,Hemimorphite at 3.72 GPa,Hemimorphite,Hemimorphite at 3.72 GPa
1001818,Hendricksite 1M,Hendricksite,1M
9009885,Heterogenite (deuterated),Heterogenite,deuterated
7231032,Hf-CAU-39,,
9001231,Hibschite (deuterated),Hibschite,deuterated
9013837,Hilairite-(Ba),Hilairite,Ba
9013838,Hilairite-(Ca),Hilairite,Ca
9013839,Hilairite-(Pb),Hilairite,Pb
9013835,Hilairite-(Rb),Hilairite,Rb
9013836,Hilairite-(Sr),Hilairite,Sr
9011377,Hilgardite-1A,Hilgardite,1A
9000882,Hilgardite-3A,Hilgardite,3A
1008813,"Hollandite (Ti, Mg)",Hollandite,"Ti, Mag"
1513977,"Hollandite, lithian",Hollandite,Li
1000470,Huanghoite (Sm),Huanghoite,Sm
9013902,Huanzalait,Huanzalaite,
9012468,Hydrate - ethylene oxide,,
9012738,Hydrate - tetrahydrofuran,,
4112319,Hydrated Cu(2-pymo)2,,
1007235,Hydrogarnet,,
9001082,Hydrogarnet (deuterated),Hydrogarnet,deuterated
9011566,Hydrogen,,
9014214,Hydrogen peroxide,,
9007284,Hydronium jarosite,Hydroniumjarosite,
3000048,Hydrotalcite polytype_3R1,Hydrotalcite-3R,
1545032,Hydrous ringwoodite,Ringwoodite,Hydrous
1545048,Hydrous wadsleyite,Wadsleyite,Hydrous
9005647,Hydroxy-dravite,Dravite,Hydroxy-dravite
9005656,Hydroxy-schorl,Schorl,Hydroxy-schorl
9010436,Hydroxyl-bastnasite-(Ce),Hydroxylbastnäsite-(Ce),
9012548,Hydroxyl-bastnasite-(Nd),Bastnäsite-(Nd),Hydroxyl-bastnasite-(Nd)
9002217,Hydroxylapatite-dental,Hydroxylapatite,dental
9002537,Hydroxylclinohumite (deuterated),Hydroxylclinohumite,deuterated
9015045,Ice II,Ice,Ice II
1011063,Ice II ?,Ice,Ice II ?
1011024,Ice III,Ice,Ice III
9014986,Ice IV,Ice,Ice IV
1011023,Ice Ih,Ice,Ice Ih
1008748,Ice Ih deuterated,Ice,Ice Ih deuterated
9016611,Ice VII,Ice-VII,
1544643,Ikaite at -10 ?C,Ikaite,Ikaite at -10 ?C
1545152,Ikaite at -20 C,Ikaite,Ikaite at -20 C
1544642,Ikaite at -30 ?C,Ikaite,Ikaite at -30 ?C
1544641,Ikaite at -40 ?C,Ikaite,Ikaite at -40 ?C
1544640,Ikaite at -50 ?C,Ikaite,Ikaite at -50 ?C
1567940,In2O3 at 8.1 GPa,,
9008536,Iron-alpha,Iron,alpha
1544616,Iron-bearing hydrous forsterite,Forsterite,Iron-bearing hydrous
9008537,Iron-beta,Iron,beta
9008538,Iron-delta,Iron,delta
1557935,Jarosite at 133 K,Jarosite,Jarosite at 133 K
1557934,Jarosite at 173 K,Jarosite,Jarosite at 173 K
1557933,Jarosite at 213 K,Jarosite,Jarosite at 213 K
1557932,Jarosite at 253 K,Jarosite,Jarosite at 253 K
1557931,Jarosite at 297 K,Jarosite,Jarosite at 297 K
1001744,Jeanbandyite oxidized,Jeanbandyite,oxidized
1557000,K-feldspar,K-Feldspar,
9010837,KCoSe,,
3000126,KGBT,,
1544748,KMg1.04Mn1.96Ge3AlO10F2,,
1544747,KMg2.32Mn0.68Ge3AlO10F2,,
9011072,Kafehydrocyanite (deuterated),Kafehydrocyanite,deuterated
9003083,Kalicinite (deuterated),Kalicinite,deuterated
1011045,Kaolinite 2M,Kaolinite,2M
9003642,Katoite (deuterated),Katoite,deuterated
1552358,Katoite Si-free,Katoite,Si-free
9015443,Kimseyite,Kimzeyite,
9004838,Kingite (deuterated),Kingite,deuterated
9004887,Kirchheimerite,Metakirchheimerite,
1544861,Kottigite-parasymplesite solid solution,Köttigite-Parasymplesite Series,
9014702,Kozoite-(Sm),Kozoite-(Nd),Sm
9008471,Krypton,,
1544909,La2Li0.5Al0.5O4 with K2NiF4 structure,,
4336803,LaCrAsO,,
9013462,Lammerite-beta,Lammerite-β,
9008472,Lanthanum,,
3000413,Lanthanum doped cobalt-zinc ferrite,,
9005147,Laumontite (deuterated),Laumontite,deuterated
9002543,Lawsonite (deuterated),Lawsonite,deuterated
7240194,Lead fluorine acetate,,
1011041,Leonite (M,Leonite,
9009586,Lepidolite 1M,Lepidolite,1M
1544676,Lepidolite 2M2,Lepidolite,2M2
9000834,Lepidolite-1M,Lepidolite,1M
9000833,Lepidolite-2M2,Lepidolite,2M2
1011086,Leucite high,Leucite,high
1011035,Leucite low,Leucite,low
9011319,Levyclaudite-(Sb),Lévyclaudite,Sb
1557950,Levyne SR data,Lévyne,Levyne SR data
1557946,Levyne SR data at 266 C,Lévyne,Levyne SR data at 266 C
1557945,Levyne SR data at 458 C,Lévyne,Levyne SR data at 458 C
1557948,Levyne single crystal data,Lévyne,Levyne single crystal data
